,title,salary_standardized,location,habilidades
2552,Senior Healthcare Data Analyst (Remote) - Full-time / Part-time,42244.8, Anywhere ,"('sql', 'powerbi', 'excel', 'tableau')"
2553,Business Data Analyst (Junior),52000.0, Anywhere ,"('python', 'sql', 'powerbi', 'excel', 'tableau', 'r', 'machine_learning')"
2587,Data Scientist,83793.0,"  Oklahoma City, OK   ","('machine_learning',)"
2590,Industrial Engineering - Transportation Analyst,38480.0,"  Oklahoma City, OK   ","('excel',)"
2624,Senior Data Analyst,117500.0, Anywhere ,"('python', 'machine_learning', 'aws')"
2631,Sr. Digital Data Analyst,78000.0,  United States   ,"('sql', 'powerbi', 'tableau')"
2636,Data Analyst,74994.4,  United States   ,"('sql', 'powerbi')"
2654,Data Analyst - Full-time / Part-time,47205.6,"  Topeka, KS   ","('excel',)"
2657,Lead Data Analyst,146671.2,  United States   ,"('python', 'sql', 'powerbi', 'tableau')"
2709,Director - Data & Advanced Analytics,180211.2, Anywhere ,"('machine_learning',)"
2715,"Director, Data Analytics & Insights",92000.0, Anywhere ,"('machine_learning',)"
2739,Data Analyst - 7010605,51694.2,"  Jefferson City, MO   ","('tableau',)"
2747,Data Analyst,85000.0, Anywhere ,"('sql', 'excel')"
2755,Data Analyst (ID#10255),110000.0,"  Tulsa, OK   ","('python', 'sql', 'excel', 'machine_learning')"
2760,Business Intelligence Data Analyst,133120.0, Anywhere ,"('sql', 'tableau')"
2764,Research/Data Analyst-P20W - Now Hiring,48391.2,"  Jefferson City, MO   ","('sql', 'tableau')"
2787,Data Scientist,20800.0, Anywhere ,"('sql', 'powerbi', 'tableau', 'machine_learning')"
2839,Epic Inpatient Clarity/Senior Clinical Business Intelligence Analyst,109000.0, Anywhere ,"('sql', 'tableau')"
2858,Data Scientist/Engineer/Analyst,127500.0,Colorado,"('python', 'sql', 'azure', 'machine_learning', 'aws')"
2862,Senior Analyst - Corporate FP&a,96500.0,United States,"('excel',)"
2889,Summer Student - Quantitative Analyst and Programmer,43000.0,United States,"('python', 'azure')"
2890,Lead Intelligence Surveillance Reconnaissance (ISR) Operations and Mission Data Analyst,142000.0,United States,"('sql', 'excel')"
2897,Data/Principal Data Management Analyst,97900.0,  United States   ,"('excel',)"
2898,Principal Data Insight Analyst,121750.0,  United States   ,"('python', 'sql', 'excel', 'tableau')"
2902,Data Analyst,95000.0,"Tulsa, OK","('tableau', 'aws')"
